"","colony_id","Light_Value","micromol.L.s","Species","Run","Chamber.Vol.L"
"1","Dlab-C2","0",-0.00610219230769271,"Diploria labyrinthiformis",5,0.596
"2","Dlab-C2","124",-0.00414582417582451,"Diploria labyrinthiformis",5,0.596
"3","Dlab-C2","165",-0.00371651614668869,"Diploria labyrinthiformis",5,0.596
"4","Dlab-C2","233",-0.00514614035087695,"Diploria labyrinthiformis",5,0.596
"5","Dlab-C2","289",-0.00447741304347825,"Diploria labyrinthiformis",5,0.596
"6","Dlab-C2","32",-0.00419030769230753,"Diploria labyrinthiformis",5,0.596
"7","Dlab-C2","341",-0.00384657894736818,"Diploria labyrinthiformis",5,0.596
"8","Dlab-C2","413",-0.00336634615384623,"Diploria labyrinthiformis",5,0.596
"9","Dlab-C2","517",-0.00438793103448275,"Diploria labyrinthiformis",5,0.596
"10","Dlab-C2","82",-0.00404850361197116,"Diploria labyrinthiformis",5,0.596
"11","Dlab-E2","0",-0.00873908102766797,"Diploria labyrinthiformis",5,0.592
"12","Dlab-E2","124",-0.00611243951612909,"Diploria labyrinthiformis",5,0.592
"13","Dlab-E2","165",-0.00586229691876747,"Diploria labyrinthiformis",5,0.592
"14","Dlab-E2","233",-0.00740946153846155,"Diploria labyrinthiformis",5,0.592
"15","Dlab-E2","289",-0.00688270935960576,"Diploria labyrinthiformis",5,0.592
"16","Dlab-E2","32",-0.00665511278195489,"Diploria labyrinthiformis",5,0.592
"17","Dlab-E2","341",-0.00600796153846202,"Diploria labyrinthiformis",5,0.592
"18","Dlab-E2","413",-0.00590904411764701,"Diploria labyrinthiformis",5,0.592
"19","Dlab-E2","517",-0.00687765737874123,"Diploria labyrinthiformis",5,0.592
"20","Dlab-E2","82",-0.00622357142857148,"Diploria labyrinthiformis",5,0.592
"21","Mcav-C2","0",-0.0049384881422926,"Montastraea cavernosa",5,0.606
"22","Mcav-C2","124",-0.00480372194854943,"Montastraea cavernosa",5,0.606
"23","Mcav-C2","165",-0.00408267391304361,"Montastraea cavernosa",5,0.606
"24","Mcav-C2","233",-0.00495071428571422,"Montastraea cavernosa",5,0.606
"25","Mcav-C2","289",-0.00433421052631577,"Montastraea cavernosa",5,0.606
"26","Mcav-C2","32",-0.00447687465790915,"Montastraea cavernosa",5,0.606
