"","colony_id","Light_Value","micromol.L.s","Species","Run","Chamber.Vol.L"
"1","Dlab-C7","0",-0.0078890000000003,"Diploria labyrinthiformis",20,0.599
"2","Dlab-C7","124",-0.00616860902255641,"Diploria labyrinthiformis",20,0.599
"3","Dlab-C7","165",-0.00571771739130441,"Diploria labyrinthiformis",20,0.599
"4","Dlab-C7","233",-0.00508854347826109,"Diploria labyrinthiformis",20,0.599
"5","Dlab-C7","289",-0.00470704502814256,"Diploria labyrinthiformis",20,0.599
"6","Dlab-C7","32",-0.00701131422924901,"Diploria labyrinthiformis",20,0.599
"7","Dlab-C7","341",-0.00415733082706756,"Diploria labyrinthiformis",20,0.599
"8","Dlab-C7","413",-0.00359320197044335,"Diploria labyrinthiformis",20,0.599
"9","Dlab-C7","517",-0.00350343589743585,"Diploria labyrinthiformis",20,0.599
"10","Dlab-C7","82",-0.00664146829810891,"Diploria labyrinthiformis",20,0.599
"11","Dlab-E7","0",-0.0106328314028314,"Diploria labyrinthiformis",20,0.59
"12","Dlab-E7","124",-0.00864271929824538,"Diploria labyrinthiformis",20,0.59
"13","Dlab-E7","165",-0.00773873192436019,"Diploria labyrinthiformis",20,0.59
"14","Dlab-E7","233",-0.00649355500821011,"Diploria labyrinthiformis",20,0.59
"15","Dlab-E7","289",-0.00600966629588423,"Diploria labyrinthiformis",20,0.59
"16","Dlab-E7","32",-0.0101697876447875,"Diploria labyrinthiformis",20,0.59
"17","Dlab-E7","341",-0.0053309429700733,"Diploria labyrinthiformis",20,0.59
"18","Dlab-E7","413",-0.00449860681114571,"Diploria labyrinthiformis",20,0.59
"19","Dlab-E7","517",-0.00418253846153852,"Diploria labyrinthiformis",20,0.59
"20","Dlab-E7","82",-0.00924451282051304,"Diploria labyrinthiformis",20,0.59
"21","Mcav-A7","0",-0.00488658517952623,"Montastraea cavernosa",20,0.593
"22","Mcav-A7","124",-0.00173403119868629,"Montastraea cavernosa",20,0.593
"23","Mcav-A7","165",-0.00129921052631563,"Montastraea cavernosa",20,0.593
"24","Mcav-A7","233",-0.000960805860805751,"Montastraea cavernosa",20,0.593
"25","Mcav-A7","289",-0.001215231990232,"Montastraea cavernosa",20,0.593
"26","Mcav-A7","32",-0.00297571746384866,"Montastraea cavernosa",20,0.593
"27","Mcav-A7","341",-0.000887922077922018,"Montastraea cavernosa",20,0.593
"28","Mcav-A7","413",-0.00101127450980373,"Montastraea cavernosa",20,0.593
"29","Mcav-A7","517",-0.000994107142857135,"Montastraea cavernosa",20,0.593
"30","Mcav-A7","82",-0.00263492307692298,"Montastraea cavernosa",20,0.593
"31","Mcav-C7","0",-0.00738356521739161,"Montastraea cavernosa",20,0.592
"32","Mcav-C7","124",-0.00176705982905996,"Montastraea cavernosa",20,0.592
"33","Mcav-C7","165",-0.00112287549407127,"Montastraea cavernosa",20,0.592
"34","Mcav-C7","233",-6.0016595542912e-05,"Montastraea cavernosa",20,0.592
"35","Mcav-C7","289",0.000358161764705935,"Montastraea cavernosa",20,0.592
