"","colony_id","Light_Value","micromol.L.s","Species","Run","Chamber.Vol.L"
"1","BK-8","0",-0.00111228070175454,"Blank",21,0.607
"2","BK-8","124",-0.00127286876294295,"Blank",21,0.607
"3","BK-8","165",-0.00130449604743072,"Blank",21,0.607
"4","BK-8","233",-0.00130287972896673,"Blank",21,0.607
"5","BK-8","289",-0.00109324675324665,"Blank",21,0.607
"6","BK-8","32",-0.00111314229249019,"Blank",21,0.607
"7","BK-8","341",-0.00115150375939833,"Blank",21,0.607
"8","BK-8","413",-0.00142432478632474,"Blank",21,0.607
"9","BK-8","517",-0.0010874542124542,"Blank",21,0.607
"10","BK-8","82",-0.00128291925465835,"Blank",21,0.607
"11","Dlab-D7","0",-0.00753375939849612,"Diploria labyrinthiformis",21,0.596
"12","Dlab-D7","124",-0.00468443349753696,"Diploria labyrinthiformis",21,0.596
"13","Dlab-D7","165",-0.00417058823529397,"Diploria labyrinthiformis",21,0.596
"14","Dlab-D7","233",-0.0034044615384619,"Diploria labyrinthiformis",21,0.596
"15","Dlab-D7","289",-0.00355892857142822,"Diploria labyrinthiformis",21,0.596
"16","Dlab-D7","32",-0.00677504926108374,"Diploria labyrinthiformis",21,0.596
"17","Dlab-D7","341",-0.00313070175438649,"Diploria labyrinthiformis",21,0.596
"18","Dlab-D7","413",-0.00302219230769255,"Diploria labyrinthiformis",21,0.596
"19","Dlab-D7","517",-0.00200363636363634,"Diploria labyrinthiformis",21,0.596
"20","Dlab-D7","82",-0.00606102941176445,"Diploria labyrinthiformis",21,0.596
"21","Dlab-F7","0",-0.00912772058823522,"Diploria labyrinthiformis",21,0.588
"22","Dlab-F7","124",-0.0059131203007518,"Diploria labyrinthiformis",21,0.588
"23","Dlab-F7","165",-0.00618641304347841,"Diploria labyrinthiformis",21,0.588
"24","Dlab-F7","233",-0.00543003557744938,"Diploria labyrinthiformis",21,0.588
"25","Dlab-F7","289",-0.00516410714285708,"Diploria labyrinthiformis",21,0.588
"26","Dlab-F7","32",-0.00795045454545458,"Diploria labyrinthiformis",21,0.588
"27","Dlab-F7","341",-0.00489021978022016,"Diploria labyrinthiformis",21,0.588
"28","Dlab-F7","413",-0.0048920175438594,"Diploria labyrinthiformis",21,0.588
"29","Dlab-F7","517",-0.00428382905982899,"Diploria labyrinthiformis",21,0.588
"30","Dlab-F7","82",-0.00692364532019678,"Diploria labyrinthiformis",21,0.588
"31","Mcav-B7","0",-0.00454615384615425,"Montastraea cavernosa",21,0.601
"32","Mcav-B7","124",-0.00279691304347853,"Montastraea cavernosa",21,0.601
"33","Mcav-B7","165",-0.00213642857142845,"Montastraea cavernosa",21,0.601
"34","Mcav-B7","233",-0.00221667391304357,"Montastraea cavernosa",21,0.601
"35","Mcav-B7","289",-0.00187475490196063,"Montastraea cavernosa",21,0.601
"36","Mcav-B7","32",-0.00368226990400874,"Montastraea cavernosa",21,0.601
